Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float
Brook Lopez,56,56,27.4,4.3,8.9,.483,1.5,4.4,.348,2.8,4.5,.613,1.6,1.8,.854,1.4,3.6,5.1,0.7,0.6,1.4,0.9,2.1,11.7,NBA,  MIL,C, 32 ,"$13,000,000  ",13000000.0
Kevin Love,15,15,22.5,4.0,9.9,.403,2.1,6.3,.326,1.9,3.6,.537,1.7,2.2,.758,0.7,5.9,6.6,2.3,0.5,0.1,1.3,0.9,11.7,NBA,  CLE,PF, 32 ,"$30,100,543  ",30100543.0
Kyle Lowry,41,41,34.6,5.6,12.9,.435,2.7,7.0,.389,2.9,5.9,.488,3.1,3.6,.877,0.8,4.7,5.5,7.2,1.0,0.2,2.9,3.1,17.0,NBA,  TOR,PG, 34 ,"$30,500,000  ",30500000.0
Khris Middleton,55,55,33.5,7.5,15.7,.479,2.2,5.2,.426,5.3,10.5,.504,3.1,3.4,.889,0.8,5.3,6.1,5.6,1.1,0.2,2.7,2.4,20.2,NBA,  MIL,SF, 29 ,"$35,500,000  ",35500000.0
Dejounte Murray,55,55,31.6,6.5,14.3,.451,1.0,3.1,.333,5.4,11.2,.484,1.6,2.0,.791,0.7,6.2,6.9,5.3,1.5,0.1,1.7,2.0,15.5,NBA,  SAS,PG, 24 ,"$15,955,000  ",15955000.0
Jamal Murray,48,48,35.5,7.9,16.5,.477,2.7,6.6,.408,5.2,9.9,.523,2.8,3.2,.869,0.8,3.3,4.0,4.8,1.3,0.3,2.3,2.0,21.2,NBA,  DEN,PG, 23 ,"$31,650,600  ",31650600.0
Victor Oladipo,33,33,32.7,7.1,17.5,.408,2.4,7.2,.326,4.8,10.2,.466,3.2,4.2,.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8,NBA,  MIA,SG, 28 ,"$21,250,000  ",21250000.0
Kelly Olynyk,58,50,27.8,4.5,9.3,.481,1.8,5.4,.339,2.7,3.9,.675,1.2,1.4,.807,1.1,5.4,6.5,2.2,0.9,0.6,1.5,2.8,11.9,NBA,  HOU,PF, 29 ,"$12,500,000  ",12500000.0
Kelly Oubre Jr.,52,50,30.8,5.8,13.1,.439,1.6,5.1,.318,4.1,8.0,.516,2.2,3.1,.710,1.5,4.6,6.0,1.3,1.0,0.8,1.3,2.3,15.3,NBA,  GSW,SF, 24 ,"$15,000,000  ",15000000.0
Chris Paul,57,57,31.6,6.1,12.5,.487,1.4,3.6,.375,4.7,8.8,.533,2.4,2.6,.926,0.4,4.2,4.6,8.8,1.4,0.2,2.1,2.3,15.9,NBA,  PHX,PG, 35 ,"$39,932,648  ",39932648.0
Taurean Prince,41,10,22.1,3.2,8.0,.401,1.5,3.8,.400,1.7,4.2,.401,1.6,1.9,.855,0.5,3.0,3.5,1.9,0.7,0.6,1.1,1.8,9.5,NBA,  CLE,PF, 26 ,"$12,625,000  ",12625000.0
Julius Randle,59,59,37.5,8.4,18.3,.460,2.2,5.3,.410,6.3,13.1,.481,4.9,6.1,.807,1.3,9.2,10.5,6.1,1.0,0.3,3.5,3.2,23.9,NBA,  NYK,PF, 25 ,"$20,700,000  ",20700000.0
J.J. Redick,36,0,17.8,2.7,6.6,.405,1.6,4.4,.376,1.0,2.2,.463,1.3,1.4,.940,0.1,1.6,1.7,1.2,0.3,0.1,0.8,1.1,8.3,NBA,  DAL,SG, 36 ,"$13,250,000  ",13250000.0
Terrence Ross,46,2,29.3,5.5,13.4,.412,1.9,5.7,.337,3.6,7.7,.469,2.6,3.0,.870,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6,NBA,  ORL,SG, 29 ,"$13,500,000  ",13500000.0
